Day,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76
1,0.00040898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639277,0.023362029,0.001311042,0.002577642,0.003644253,0.004977516,0.0033776,0.00611079,0.00825805,0.005099233,0.0,0.0,0.004855525,0.002700804,0.011650461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000292376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000170734,0.0,0.000176832,0.0,0.000163044,0.00028728,0.000176638,0.000395521,0.0,0.0,0.000144684,0.0,0.000382478,0.0,0.000216636,0.000306984,0.0
2,0.000676547,0.0064,0.0062,0.0,0.0061,0.0,0.0,0.0,0.018117539,0.042085651,0.009288401,0.01455479,0.014288138,0.007755148,0.012688222,0.016421359,0.01583169,0.014703541,0.0,0.0,0.008335514,0.029028568,0.07054497,0.025957141,0.008783065,0.0389,0.005690121,0.005711135,0.006340668,0.006094495,0.006083122,0.005624218,0.006234188,0.005557646,0.006032451,0.006326054,0.002051758,0.006239372,0.005597787,0.006201008,0.005642232,0.006324294,0.003407731,0.0,0.005526582,0.005171174,0.006014861,0.002023268,0.001735734,0.0,0.002048197,0.00112229,0.005560987,0.005706725,0.003125686,0.006072938,0.002376646,0.00246668,0.002380183,0.000234656,0.0,0.000243037,0.0,0.000224087,0.000394836,0.00024277,0.000543602,0.0,0.0,0.000198853,0.0,0.000525677,0.0,0.000297744,0.000421917,0.0
3,0.000662304,0.00746,0.00694,0.0,0.00716,0.0,7.81e-05,0.0,0.021716254,0.041944799,0.019710075,0.029842875,0.031576118,0.023043233,0.022643254,0.025376443,0.016890646,0.015861774,0.000163958,0.0,0.008309649,0.030936053,0.074381319,0.026686809,0.010654084,0.0435,0.006473825,0.00657213,0.007305738,0.006843538,0.00683314,0.006460103,0.007028889,0.006374299,0.006986271,0.007267741,0.002269664,0.007042368,0.006426037,0.00694262,0.006483321,0.007263164,0.003999894,0.0,0.006486939,0.006069771,0.007060067,0.002374852,0.002037353,0.0,0.002404113,0.001317311,0.006527322,0.006698386,0.003668838,0.007128236,0.002789636,0.002895317,0.002793789,0.000271341,1.46e-05,0.000278244,2.64e-05,0.000214793,0.00037846,0.000278025,0.000525813,6.58e-05,3.94e-05,0.000190605,6.17e-05,0.000503874,6.27e-05,0.000323305,0.000404418,4.32e-05
4,0.001005563,0.008688,0.007802,0.0,0.008388,0.000293103,0.000546669,0.0,0.029987102,0.043043932,0.028609607,0.04262887,0.048115248,0.035195927,0.03115614,0.032529401,0.019411983,0.019653858,0.003065858,0.0,0.011681947,0.03343829,0.07818039,0.027870351,0.012994845,0.04822,0.00742906,0.007617964,0.00842516,0.007724831,0.007716512,0.007482952,0.007953453,0.007379544,0.008117074,0.00836042,0.002797314,0.007976419,0.007441896,0.007806463,0.007510934,0.008352621,0.004746841,8.89e-05,0.007612481,0.007110788,0.008272854,0.002782159,0.002386776,0.000127095,0.002816439,0.001655898,0.007659012,0.007847215,0.004298074,0.008350788,0.00335235,0.003474118,0.003357134,0.000662958,0.00034059,0.000667112,0.000378748,0.000502311,0.000661723,0.00066698,0.000816064,0.000506758,0.000420973,0.000478752,0.000493601,0.000783876,0.000496767,0.000694223,0.000687006,0.000433337
5,0.001634823,0.0100504,0.0087616,0.0,0.0097504,0.000820687,0.001327716,0.0,0.041995656,0.045135052,0.036291425,0.053413192,0.064055299,0.044840309,0.038515308,0.038240656,0.023103226,0.025553024,0.008158111,0.0,0.017772774,0.03641633,0.081949638,0.029416993,0.015711398,0.053036,0.00852152,0.008811668,0.009668066,0.008711922,0.008706567,0.008655371,0.008981907,0.008535661,0.009389466,0.009573893,0.003572761,0.009015315,0.008607843,0.008768092,0.008687765,0.009562549,0.005617615,0.000248953,0.008870171,0.00826574,0.009619707,0.003234045,0.002774442,0.000355867,0.003273892,0.002109336,0.008922984,0.009121779,0.004996178,0.009707144,0.004034842,0.00417305,0.004040272,0.001338521,0.000915643,0.001338907,0.000991942,0.001027279,0.001184697,0.001338895,0.001352748,0.001247909,0.001076376,0.001004015,0.001221601,0.001305323,0.001227933,0.001341426,0.001209664,0.001101099
6,0.001120077,0.0108752,0.0093308,0.0,0.0105752,0.000410344,0.00085901,0.0,0.039053386,0.043258221,0.048844098,0.072204204,0.082391668,0.064517941,0.050489345,0.049718719,0.022114848,0.023023865,0.00448895,0.0,0.012989482,0.037491162,0.085838176,0.029511236,0.01692478,0.057468,0.00906508,0.009413888,0.01041704,0.009275817,0.00926989,0.009229508,0.009594799,0.009088287,0.010095507,0.01030419,0.003357023,0.009634833,0.009173439,0.00933858,0.009267721,0.010290596,0.005993081,0.000124477,0.009599269,0.00896495,0.010430298,0.003507617,0.003009136,0.000177934,0.003550835,0.002103366,0.009657824,0.009893404,0.005418812,0.010528285,0.004238221,0.004391456,0.004244241,0.000878302,0.00049437,0.000878991,0.000561886,0.000602447,0.000748826,0.000878969,0.000903701,0.000788389,0.000636601,0.000580815,0.000765109,0.000860992,0.000770712,0.000883488,0.000772042,0.000658478
7,0.000605332,0.0117,0.0099,0.0,0.0114,0.0,0.000390304,0.0,0.036111117,0.041381391,0.061396772,0.090995216,0.100728037,0.084195573,0.062463382,0.061196782,0.021126469,0.020494705,0.000819788,0.0,0.00820619,0.038565994,0.089726715,0.02960548,0.018138162,0.0619,0.009608641,0.010016109,0.011166014,0.009839711,0.009833213,0.009803644,0.010207691,0.009640913,0.010801548,0.011034487,0.003141284,0.010254351,0.009739035,0.009909068,0.009847678,0.011018644,0.006368546,0.0,0.010328366,0.009664161,0.011240889,0.003781189,0.00324383,0.0,0.003827778,0.002097395,0.010392664,0.010665028,0.005841445,0.011349426,0.0044416,0.004609862,0.004448211,0.000418082,7.31e-05,0.000419074,0.000131829,0.000177615,0.000312954,0.000419043,0.000454655,0.00032887,0.000196826,0.000157615,0.000308618,0.000416661,0.000313492,0.00042555,0.000334419,0.000215857
8,0.002378598,0.0136,0.01125,0.0,0.0133,0.001465513,0.002421103,0.0,0.063070493,0.047440462,0.064207735,0.093772847,0.114271769,0.083806705,0.065207683,0.06114123,0.029497334,0.034822197,0.014673457,0.0,0.025171137,0.04344724,0.093376674,0.032604521,0.022357886,0.0671,0.01125,0.011801298,0.012902852,0.01125,0.01125,0.011574347,0.011651708,0.01140052,0.012640289,0.012731136,0.004907917,0.011712625,0.011505333,0.011261838,0.011621383,0.012710451,0.00773463,0.00044456,0.012114649,0.011274854,0.013124004,0.004411388,0.003784469,0.000635477,0.004465741,0.003010243,0.01218577,0.012442532,0.00681502,0.013240997,0.005603205,0.005789322,0.005610517,0.002229428,0.001644476,0.002222582,0.001788274,0.001652384,0.001794775,0.002222799,0.001977069,0.002270692,0.001947406,0.001631341,0.00222111,0.001903885,0.002233043,0.002177895,0.001817358,0.001994001
9,0.004151864,0.0155,0.0126,0.0,0.0152,0.002931027,0.004451901,0.0,0.09002987,0.053499533,0.067018698,0.096550479,0.127815502,0.083417836,0.067951983,0.061085677,0.037868199,0.049149688,0.028527126,0.0,0.042136083,0.048328487,0.097026632,0.035603561,0.026577611,0.0723,0.012891359,0.013586487,0.01463969,0.012660289,0.012666787,0.01334505,0.013095725,0.013160128,0.014479031,0.014427785,0.00667455,0.013170899,0.013271631,0.012614609,0.013395089,0.014402259,0.009100714,0.000889119,0.013900932,0.012885548,0.01500712,0.005041586,0.004325107,0.001270954,0.005103704,0.003923091,0.013978875,0.014220037,0.007788594,0.015132568,0.00676481,0.006968782,0.006772824,0.004040773,0.003215855,0.004026089,0.003444719,0.003127152,0.003276595,0.004026556,0.003499483,0.004212515,0.003697986,0.003105067,0.004133601,0.003391109,0.004152593,0.00393024,0.003300297,0.003772145
10,0.00484062,0.01555,0.01265,0.0,0.0153,0.003598418,0.005169999,0.0,0.125486985,0.054228078,0.070485183,0.100416942,0.132148607,0.090517463,0.076818183,0.066552056,0.03939496,0.054083459,0.033077326,0.0,0.047320797,0.054797894,0.096888245,0.040061937,0.030973116,0.0726,0.012941359,0.013636487,0.01468969,0.012710289,0.012716787,0.01339505,0.013145725,0.013210128,0.014529031,0.014477785,0.00718119,0.013220899,0.013321631,0.012664609,0.013445089,0.014452259,0.009399947,0.001244243,0.014043366,0.012970321,0.015113421,0.005074754,0.004353562,0.001778587,0.005137281,0.004391451,0.014118763,0.01431359,0.007839835,0.015232124,0.007140345,0.007337654,0.007148097,0.004667796,0.003892743,0.004649859,0.004129237,0.003727199,0.003825327,0.00465043,0.004006597,0.004922631,0.004390948,0.003712697,0.004841087,0.00390052,0.004860712,0.004532777,0.00384089,0.00446758
