Dias,Amostra
2020-01-01,0
2020-01-02,0.0064
2020-01-03,0.00746
2020-01-04,0.008688
2020-01-05,0.0100504
2020-01-06,0.0108752
2020-01-07,0.0117
2020-01-08,0.0136
2020-01-09,0.0155
2020-01-10,0.01555
2020-01-11,0.0156
2020-01-12,0.017
2020-01-13,0.0184
2020-01-14,0.0198
2020-01-15,0.0247
2020-01-16,0.0299
2020-01-17,0.0356
2020-01-18,0.0415
2020-01-19,0.043
2020-01-20,0.0444999999999998
2020-01-21,0.046
2020-01-22,0.0498
2020-01-23,0.0546
2020-01-24,0.0585
2020-01-25,0.0629
2020-01-26,0.0643333333333333
2020-01-27,0.0657666666666667
2020-01-28,0.0672
2020-01-29,0.0704
2020-01-30,0.075
2020-01-31,0.0795
2020-02-01,0.0839
2020-02-02,0.0839666666666667
2020-02-03,0.0840333333333333
2020-02-04,0.0841
2020-02-05,0.0878
2020-02-06,0.0918
2020-02-07,0.0955
2020-02-08,0.099
2020-02-09,0.100266666666667
2020-02-10,0.101533333333334
2020-02-11,0.1028
2020-02-12,0.1029
2020-02-13,0.1069
2020-02-14,0.10784
2020-02-15,0.10878
2020-02-16,0.10972
2020-02-17,0.11066
2020-02-18,0.1116
2020-02-19,0.1152
2020-02-20,0.1225
2020-02-21,0.126
2020-02-22,0.1272
2020-02-23,0.1284
2020-02-24,0.1296
2020-02-25,0.1334
2020-02-26,0.13495
2020-02-27,0.1365
2020-02-28,0.1401
2020-02-29,0.141366666666667
2020-03-01,0.142633333333333
2020-03-02,0.1439
2020-03-03,0.1477
2020-03-04,0.149
2020-03-05,0.1503
2020-03-06,0.1538
2020-03-07,0.154933333333333
2020-03-08,0.156066666666667
2020-03-09,0.1572
2020-03-10,0.1608
2020-03-11,0.1677
2020-03-12,0.1752
2020-03-13,0.1782
2020-03-14,0.1811
2020-03-15,0.1846
2020-03-16,0.1881
2020-03-17,0.1933
2020-03-18,0.1999
2020-03-19,0.2066
2020-03-20,0.2101
2020-03-21,0.2137
2020-03-22,0.2171
2020-03-23,0.2196
2020-03-24,0.2254
2020-03-25,0.2321
2020-03-26,0.2391
2020-03-27,0.2461
2020-03-28,0.2496
2020-03-29,0.2531
2020-03-30,0.2567
2020-03-31,0.2603
2020-04-01,0.2638
2020-04-02,0.2665
2020-04-03,0.2694
2020-04-04,0.2728
2020-04-05,0.2762
2020-04-06,0.28
2020-04-07,0.2836
2020-04-08,0.2873
2020-04-09,0.2906
2020-04-10,0.2937
2020-04-11,0.2969
2020-04-12,0.3
2020-04-13,0.3041
2020-04-14,0.308
2020-04-15,0.3119
2020-04-16,0.3155
2020-04-17,0.3184
2020-04-18,0.322
2020-04-19,0.3221
2020-04-20,0.3289
2020-04-21,0.3357
2020-04-22,0.3392
2020-04-23,0.3424
2020-04-24,0.3457
2020-04-25,0.3497
2020-04-26,0.3536
2020-04-27,0.3574
2020-04-28,0.3603
2020-04-29,0.364
2020-04-30,0.3678
2020-05-01,0.3713
2020-05-02,0.3754
2020-05-03,0.3788
2020-05-04,0.3821
2020-05-05,0.3821
2020-05-06,0.3821
2020-05-07,0.3821
2020-05-08,0.3821
2020-05-09,0.3821
2020-05-10,0.3821
2020-05-11,0.3821
2020-05-12,0.3821
2020-05-13,0.3821
2020-05-14,0.3821
2020-05-15,0.3821
2020-05-16,0.3821
